X,Y,Z,TIME
34.83,-3.84,4.1,1.0
34.96,-3.81,4.1,1.0
35.07,-3.77,4.1,1.0
35.19,-3.73,4.1,1.0
35.31,-3.71,4.1,1.0
35.43,-3.69,4.1,1.0
35.55,-3.68,4.1,1.0
35.68,-3.66,4.1,1.0
35.8,-3.64,4.1,1.0
35.92,-3.62,4.1,1.0
36.04,-3.6,4.1,1.0
36.16,-3.58,4.1,1.0
36.27,-3.58,4.1,1.0
36.4,-3.56,4.1,1.0
36.52,-3.55,4.1,1.0
36.64,-3.55,4.1,1.0
36.76,-3.53,4.1,1.0
36.9,-3.51,4.1,1.0
37.03,-3.51,4.1,1.0
37.15,-3.51,4.1,1.0
37.29,-3.49,4.1,1.0
37.42,-3.49,4.1,1.0
37.55,-3.49,4.1,1.0
37.69,-3.49,4.1,1.0
37.84,-3.49,4.1,1.0
37.98,-3.49,4.1,1.0
38.13,-3.49,4.1,1.0
38.27,-3.49,4.1,1.0
38.43,-3.51,4.1,1.0
38.6,-3.51,4.1,1.0
38.74,-3.51,4.1,1.0
38.92,-3.53,4.1,1.0
39.08,-3.53,4.1,1.0
39.24,-3.55,4.1,1.0
39.42,-3.56,4.1,1.0
39.57,-3.58,4.1,1.0
39.74,-3.58,4.1,1.0
39.9,-3.6,4.1,1.0
40.06,-3.62,4.1,1.0
40.23,-3.66,4.1,1.0
40.38,-3.68,4.1,1.0
40.54,-3.71,4.1,1.0
40.71,-3.75,4.1,1.0
40.86,-3.79,4.1,1.0
41.02,-3.82,4.1,1.0
41.18,-3.86,4.1,1.0
41.33,-3.92,4.1,1.0
41.48,-3.97,4.1,1.0
41.63,-4.03,4.1,1.0
41.78,-4.08,4.1,1.0
41.94,-4.12,4.1,1.0
42.07,-4.2,4.1,1.0
42.23,-4.25,4.1,1.0
42.37,-4.31,4.1,1.0
42.51,-4.36,4.1,1.0
42.66,-4.44,4.1,1.0
42.79,-4.49,4.1,1.0
42.93,-4.57,4.1,1.0
43.08,-4.62,4.1,1.0
43.21,-4.68,4.1,1.0
43.36,-4.73,4.1,1.0
43.5,-4.79,4.1,1.0
43.63,-4.84,4.1,1.0
43.79,-4.9,4.1,1.0
43.93,-4.94,4.1,1.0
44.07,-4.99,4.1,1.0
44.22,-5.03,4.1,1.0
44.37,-5.07,4.1,1.0
44.52,-5.09,4.1,1.0
44.66,-5.1,4.1,1.0
44.81,-5.1,4.1,1.0
44.94,-5.09,4.1,1.0
45.09,-5.07,4.1,1.0
45.22,-5.03,4.1,1.0
45.34,-4.97,4.1,1.0
45.48,-4.92,4.1,1.0
45.61,-4.86,4.1,1.0
45.73,-4.81,4.1,1.0
45.86,-4.73,4.1,1.0
45.99,-4.68,4.1,1.0
46.1,-4.6,4.1,1.0
46.21,-4.49,4.1,1.0
46.31,-4.4,4.1,1.0
46.39,-4.29,4.1,1.0
46.46,-4.18,4.1,1.0
46.52,-4.05,4.1,1.0
46.58,-3.94,4.1,1.0
46.63,-3.81,4.1,1.0
46.66,-3.68,4.1,1.0
46.69,-3.55,4.1,1.0
46.71,-3.42,4.1,1.0
46.72,-3.27,4.1,1.0
46.73,-3.14,4.1,1.0
46.73,-2.99,4.1,1.0
46.74,-2.84,4.1,1.0
46.74,-2.71,4.1,1.0
46.72,-2.56,4.1,1.0
46.69,-2.41,4.1,1.0
46.66,-2.28,4.1,1.0
46.63,-2.13,4.1,1.0
46.61,-2.0,4.1,1.0
46.57,-1.86,4.1,1.0
46.53,-1.73,4.1,1.0
46.5,-1.6,4.1,1.0
46.47,-1.47,4.1,1.0
46.45,-1.32,4.1,1.0
46.41,-1.19,4.1,1.0
46.38,-1.04,4.1,1.0
46.34,-0.91,4.1,1.0
46.28,-0.78,4.1,1.0
46.24,-0.65,4.1,1.0
46.19,-0.52,4.1,1.0
46.12,-0.39,4.1,1.0
46.05,-0.28,4.1,1.0
45.99,-0.15,4.1,1.0
45.92,-0.02,4.1,1.0
45.86,0.11,4.1,1.0
45.79,0.24,4.1,1.0
45.73,0.37,4.1,1.0
45.66,0.5,4.1,1.0
45.59,0.63,4.1,1.0
45.52,0.74,4.1,1.0
45.46,0.89,4.1,1.0
45.4,1.02,4.1,1.0
45.34,1.15,4.1,1.0
45.28,1.3,4.1,1.0
45.24,1.43,4.1,1.0
45.21,1.58,4.2,1.0
45.17,1.73,4.1,1.0
45.12,1.88,4.1,1.0
45.08,2.02,4.1,1.0
45.04,2.17,4.2,1.0
45.01,2.3,4.2,1.0
44.97,2.45,4.2,1.0
44.91,2.58,4.2,1.0
44.85,2.71,4.1,1.0
44.81,2.86,4.2,1.0
44.78,2.99,4.2,1.0
44.73,3.12,4.2,1.0
44.68,3.25,4.2,1.0
44.61,3.38,4.2,1.0
44.54,3.51,4.2,1.0
44.48,3.62,4.2,1.0
44.4,3.75,4.2,1.0
44.32,3.84,4.2,1.0
44.24,3.95,4.2,1.0
44.16,4.07,4.2,1.0
44.06,4.16,4.2,1.0
43.96,4.25,4.2,1.0
43.86,4.34,4.2,1.0
43.76,4.42,4.2,1.0
43.64,4.51,4.2,1.0
43.54,4.57,4.2,1.0
43.42,4.66,4.2,1.0
43.31,4.73,4.2,1.0
43.19,4.81,4.2,1.0
43.08,4.88,4.2,1.0
42.96,4.96,4.2,1.0
42.84,5.05,4.2,1.0
42.74,5.12,4.2,1.0
42.63,5.22,4.2,1.0
42.51,5.31,4.2,1.0
42.39,5.38,4.2,1.0
42.28,5.48,4.2,1.0
42.16,5.55,4.2,1.0
42.05,5.64,4.2,1.0
41.93,5.7,4.2,1.0
41.81,5.77,4.2,1.0
41.69,5.85,4.2,1.0
41.56,5.92,4.2,1.0
41.46,6.0,4.2,1.0
41.33,6.07,4.2,1.0
41.2,6.11,4.2,1.0
41.08,6.16,4.2,1.0
40.94,6.2,4.2,1.0
40.81,6.24,4.2,1.0
40.69,6.27,4.2,1.0
40.55,6.31,4.2,1.0
40.41,6.35,4.2,1.0
40.28,6.39,4.2,1.0
40.13,6.44,4.2,1.0
39.99,6.48,4.2,1.0
39.85,6.55,4.2,1.0
39.71,6.59,4.2,1.0
39.56,6.65,4.2,1.0
39.41,6.7,4.2,1.0
39.27,6.74,4.2,1.0
39.11,6.79,4.2,1.0
38.97,6.83,4.2,1.0
38.81,6.85,4.2,1.0
38.66,6.87,4.2,1.0
38.51,6.85,4.2,1.0
38.34,6.85,4.2,1.0
38.2,6.83,4.2,1.0
38.03,6.81,4.2,1.0
37.88,6.79,4.2,1.0
37.74,6.76,4.2,1.0
37.58,6.72,4.2,1.0
37.44,6.7,4.2,1.0
37.29,6.66,4.2,1.0
37.13,6.63,4.2,1.0
36.98,6.61,4.2,1.0
36.81,6.57,4.2,1.0
36.65,6.53,4.2,1.0
36.5,6.48,4.2,1.0
36.35,6.42,4.2,1.0
36.2,6.39,4.2,1.0
36.03,6.33,4.2,1.0
35.87,6.27,4.1,1.0
35.71,6.22,4.1,1.0
35.55,6.14,4.1,1.0
35.4,6.09,4.1,1.0
35.24,6.03,4.1,1.0
35.08,5.98,4.1,1.0
34.91,5.9,4.1,1.0
34.75,5.87,4.1,1.0
34.58,5.81,4.1,1.0
34.41,5.77,4.1,1.0
34.25,5.72,4.1,1.0
34.08,5.66,4.1,1.0
33.92,5.63,4.1,1.0
33.75,5.57,4.1,1.0
33.59,5.51,4.1,1.0
33.42,5.48,4.1,1.0
33.26,5.42,4.1,1.0
33.08,5.38,4.1,1.0
32.92,5.33,4.1,1.0
32.76,5.27,4.1,1.0
32.6,5.22,4.1,1.0
32.44,5.16,4.1,1.0
32.28,5.09,4.1,1.0
32.13,5.01,4.1,1.0
31.98,4.96,4.1,1.0
31.81,4.88,4.1,1.0
31.65,4.83,4.1,1.0
31.5,4.77,4.1,1.0
31.34,4.68,4.1,1.0
31.2,4.6,4.1,1.0
31.03,4.53,4.1,1.0
30.88,4.47,4.1,1.0
30.72,4.4,4.1,1.0
30.55,4.33,4.1,1.0
30.4,4.27,4.1,1.0
30.22,4.2,4.1,1.0
30.08,4.14,4.1,1.0
29.91,4.07,4.1,1.0
29.75,3.99,4.1,1.0
29.59,3.94,4.1,1.0
29.42,3.88,4.1,1.0
29.26,3.81,4.1,1.0
29.11,3.75,4.1,1.0
28.94,3.69,4.1,1.0
28.78,3.62,4.1,1.0
28.62,3.56,4.1,1.0
28.46,3.49,4.1,1.0
28.31,3.43,4.1,1.0
28.14,3.36,4.1,1.0
28.0,3.27,4.1,1.0
27.86,3.19,4.1,1.0
27.7,3.1,4.0,1.0
27.56,3.03,4.1,1.0
27.41,2.93,4.0,1.0
27.28,2.84,4.1,1.0
27.15,2.73,4.0,1.0
27.02,2.64,4.0,1.0
26.89,2.52,4.0,1.0
26.78,2.41,4.0,1.0
26.66,2.3,4.0,1.0
26.53,2.17,4.0,1.0
26.4,2.08,4.0,1.0
26.28,1.97,4.0,1.0
26.15,1.86,4.0,1.0
26.03,1.73,4.0,1.0
25.91,1.62,4.0,1.0
25.77,1.5,4.0,1.0
25.64,1.41,4.0,1.0
25.53,1.28,4.0,1.0
25.42,1.17,4.0,1.0
25.3,1.04,4.0,1.0
25.2,0.91,4.0,1.0
25.12,0.78,4.0,1.0
25.03,0.65,4.0,1.0
24.94,0.5,4.0,1.0
24.87,0.37,4.0,1.0
24.8,0.22,4.0,1.0
24.75,0.07,4.0,1.0
24.69,-0.07,4.0,1.0
24.64,-0.24,4.0,1.0
24.6,-0.39,4.0,1.0
24.57,-0.56,4.0,1.0
24.54,-0.71,4.0,1.0
24.52,-0.87,4.0,1.0
24.5,-1.02,4.0,1.0
24.5,-1.19,4.0,1.0
24.5,-1.34,4.0,1.0
24.5,-1.49,4.0,1.0
24.51,-1.65,4.0,1.0
24.54,-1.8,4.0,1.0
24.58,-1.95,4.0,1.0
24.61,-2.12,4.0,1.0
24.66,-2.26,4.0,1.0
24.72,-2.41,4.0,1.0
24.77,-2.54,4.0,1.0
24.84,-2.69,4.0,1.0
24.9,-2.82,4.0,1.0
24.98,-2.97,4.0,1.0
25.07,-3.1,4.0,1.0
25.14,-3.23,4.0,1.0
25.2,-3.38,4.0,1.0
25.28,-3.53,4.0,1.0
25.36,-3.66,4.0,1.0
25.48,-3.79,4.0,1.0
25.57,-3.9,4.0,1.0
25.68,-4.01,4.0,1.0
25.8,-4.1,4.0,1.0
25.92,-4.2,4.0,1.0
26.04,-4.29,4.0,1.0
26.16,-4.4,4.0,1.0
26.3,-4.51,4.0,1.0
26.42,-4.6,4.0,1.0
26.55,-4.7,4.0,1.0
26.69,-4.77,4.0,1.0
26.81,-4.86,4.0,1.0
26.95,-4.96,4.0,1.0
27.1,-5.01,4.0,1.0
27.24,-5.09,4.0,1.0
27.39,-5.14,4.0,1.0
27.55,-5.18,4.0,1.0
27.69,-5.2,4.0,1.0
27.85,-5.22,4.0,1.0
28.0,-5.22,4.0,1.0
28.16,-5.23,4.0,1.0
28.31,-5.23,4.0,1.0
28.46,-5.25,4.0,1.0
28.62,-5.25,4.0,1.0
28.79,-5.25,4.0,1.0
28.94,-5.23,4.0,1.0
29.09,-5.22,4.0,1.0
29.26,-5.2,4.0,1.0
29.41,-5.18,4.0,1.0
29.57,-5.16,4.0,1.0
29.73,-5.14,4.0,1.0
29.89,-5.12,4.0,1.0
30.06,-5.11,4.0,1.0
30.22,-5.09,4.0,1.0
30.39,-5.07,4.0,1.0
30.54,-5.03,4.0,1.0
30.71,-5.01,4.0,1.0
30.87,-4.99,4.0,1.0
31.03,-4.94,4.0,1.0
